no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
6253,Sandeep Loi,https://scholar.google.com/citations?hl=en&user=VcOHimYAAAAJ,VcOHimYAAAAJ,,,0,"Healthcare Analytics, AI in Healthcare, Disease prediction and prevention",Inf,#NAME?,1,0,0,0,0,0,0
6254,Amogh Patankar,https://scholar.google.com/citations?hl=en&user=ubVHgR0AAAAJ,ubVHgR0AAAAJ,,Verified email at ucsd.edu,0,"Artificial Intelligence, Machine Learning, Biomedical Data Science, Healthcare Analytics",2024,2024,2,0,0,0,0,0,0
6255,Parmeen Bindra,https://scholar.google.com/citations?hl=en&user=7ksGRZEAAAAJ,7ksGRZEAAAAJ,Research Data Analyst,Verified email at northwestern.edu,0,"Data Analytics, Data Science, Business Intelligence, Healthcare Analytics",2022,2022,1,0,0,0,0,0,0
6256,Ginoop Chennekkattu Markose,https://scholar.google.com/citations?hl=en&user=Tb-kghcAAAAJ,Tb-kghcAAAAJ,"Sr Solution Architect , Leading Healthcare Insurance Company",,0,"Machine Learning, Artificial Intelligence, Healthcare Analytics",2024,2024,7,0,0,0,0,0,0
6257,Alekhya Gandra,https://scholar.google.com/citations?hl=en&user=SQr-Z3kAAAAJ,SQr-Z3kAAAAJ,Engineer Lead at Elevance Health,Verified email at carelon.com,0,"Healthcare Analytics, Artificial Intelligence, Machine Learning",2024,2024,4,0,0,0,0,0,0
6258,Daniel Huttenlocher,https://scholar.google.com/citations?hl=en&user=q16KVs0AAAAJ,q16KVs0AAAAJ,Massachusetts Institute of Technology,Verified email at mit.edu,49875,"Computer Vision, Social Network Analysis",1983,2024,187,49875,73,135,11444,34,60
6259,Dragomir Radev,https://scholar.google.com/citations?hl=en&user=vIqWvgwAAAAJ,vIqWvgwAAAAJ,"Professor, Computer Science, Yale University",Verified email at yale.edu,38302,"Natural Language Processing, Information Retrieval, Machine Learning, Computational Linguistics, Social Network Analysis",,,,,,,,,
6260,Zoran Obradovic,https://scholar.google.com/citations?hl=en&user=iuNSO00AAAAJ,iuNSO00AAAAJ,"Data Analytics and Biomedical Informatics Center, Temple University",Verified email at temple.edu,34299,"Data Mining, Biomedical Informatics, Social Network Analysis, Machine Learning",,,,,,,,,
6261,Thomas Valente,https://scholar.google.com/citations?hl=en&user=MUHQo80AAAAJ,MUHQo80AAAAJ,"Professor of Preventive Medicine, University of Southern California",Verified email at usc.edu,32780,"Social Network Analysis, Diffusion of Innovations, Public Health",,,,,,,,,
6262,Aristides Gionis,https://scholar.google.com/citations?hl=en&user=11JgipcAAAAJ,11JgipcAAAAJ,"KTH Royal Institute of Technology, and Aalto University",Verified email at kth.se,27587,"data mining, graph mining, social-network analysis, web mining, algorithmic data analysis",,,,,,,,,
6263,James Cook,https://scholar.google.com/citations?hl=en&user=FiFFjWgAAAAJ,FiFFjWgAAAAJ,"Associate Professor of Sociology, University of Maine at Augusta",Verified email at maine.edu,27404,"social media, political sociology, social network analysis, gender",,,,,,,,,
6264,Srinivasan Parthasarathy,https://scholar.google.com/citations?hl=en&user=2mjUsP8AAAAJ,2mjUsP8AAAAJ,"Professor of Computer Science and Engineering, The Ohio State University",Verified email at cse.ohio-state.edu,27186,"Graph Mining, Social Network Analysis, Database Systems, Data Analytics, High Performance Computing",,,,,,,,,
6265,Hiroshi Motoda,https://scholar.google.com/citations?hl=en&user=pmq9ejIAAAAJ,pmq9ejIAAAAJ,Osaka University,Verified email at ar.sanken.osaka-u.ac.jp,26005,"Artificial Intelligence, Machine Learning, Data Mining, Social Network Analysis",,,,,,,,,
6266,Fosca Giannotti,https://scholar.google.com/citations?hl=en&user=PKz_a_AAAAAJ,PKz_a_AAAAAJ,professor at Scuola Normale Superiore di Pisa,Verified email at sns.it,25095,"explainable artificial intelligence, trustworthy Ai, data mining, social network analysis, mobility & privacy",,,,,,,,,
6267,Dino Pedreschi,https://scholar.google.com/citations?hl=en&user=5efz6osAAAAJ,5efz6osAAAAJ,"Professor of Computer Science, University of Pisa",Verified email at di.unipi.it,24008,"Data Science, Data Mining, Social Network Analysis, Artificial Intelligence, Data Ethics",,,,,,,,,
6268,Osmar Zaiane,https://scholar.google.com/citations?hl=en&user=j-W_RNYAAAAJ,j-W_RNYAAAAJ,"University of Alberta - Alberta Machine Intelligence Institute, Canada CIFAR AI Chair",Verified email at cs.ualberta.ca,22270,"Data Mining, Social Network Analysis, Health Informatics, Data Privacy, Big Data Analytics",,,,,,,,,
6269,Adrian Otoiu,https://scholar.google.com/citations?hl=en&user=HOp2DPIAAAAJ,HOp2DPIAAAAJ,Academia de Studii Economice,Verified email at csie.ase.ro,21387,"Labour market, composite indicators, machine learning, inequality, social network analysis",,,,,,,,,
